display_name,location,date,bird_count,detect_high_conf,avg_q_score,refined_label,current_label,top_label,top_confidence,top_5_predictions
900.jpeg,"1.3043744, 103.8245805",2026-05-27 11:47:21,2,0.8162585496902466,6.147,,Manual: Mute Swan,,0,
900_10.jpeg,"1.3043744, 103.8245805",2026-05-27 11:55:37,1,0.9982226490974426,7.028,Black-naped Oriole,Black-naped Oriole,Black-naped Oriole,0.952,Black-naped Oriole (95.21%) | Yellow-rumped Flycatcher (0.34%) | Pied Imperial Pigeon (0.26%) | Green-backed Flycatcher (0.19%) | Thick-billed Green-Pigeon (0.14%)
900_2.jpeg,"1.3043744, 103.8245805",2026-05-27 11:48:20,1,0.9990628361701965,3.965,Spotted Dove,Spotted Dove,Spotted Dove,0.861,Spotted Dove (86.15%) | Long-toed Stint (0.47%) | Baya Weaver (0.41%) | Zebra Dove (0.38%) | Common Myna (0.31%)
900_3.jpeg,"1.3043744, 103.8245805",2026-05-27 11:48:30,1,0.9987682700157166,17.568,Zebra Dove,Zebra Dove,Zebra Dove,0.765,Zebra Dove (76.45%) | Banded Bay Cuckoo (3.62%) | Asian Emerald Dove (1.32%) | Tiger Shrike (0.66%) | Blue-winged Leafbird (0.61%)
900_4.jpeg,"1.3043744, 103.8245805",2026-05-27 11:48:37,2,0.9812588095664978,8.765,,Manual: Pink-necked Green-Pigeon,,0,
900_5.jpeg,"1.3043744, 103.8245805",2026-05-27 11:48:46,1,0.9983131885528564,3.716,Pied Imperial Pigeon,Pied Imperial Pigeon,Pied Imperial Pigeon,0.954,Pied Imperial Pigeon (95.45%) | Eastern Cattle-Egret (0.21%) | Green Imperial Pigeon (0.14%) | Thick-billed Green-Pigeon (0.13%) | Pied Triller (0.13%)
900_6.jpeg,"1.3043744, 103.8245805",2026-05-27 11:49:05,1,0.9989699125289917,3.122,Pied Imperial Pigeon,Pied Imperial Pigeon,Pied Imperial Pigeon,0.745,Pied Imperial Pigeon (74.48%) | Green Imperial Pigeon (2.16%) | Red Collared-Dove (1.56%) | Rose-ringed Parakeet (1.30%) | Pink-necked Green-Pigeon (0.88%)
900_7.jpeg,"1.3043744, 103.8245805",2026-05-27 11:49:18,2,0.8080679178237915,5.842,,Manual: Greater Racket-tailed Drongo,,0,
900_8.jpeg,"1.3043744, 103.8245805",2026-05-27 11:49:29,1,0.9975625276565552,3.836,Oriental Magpie-Robin,Oriental Magpie-Robin,Oriental Magpie-Robin,0.95,Oriental Magpie-Robin (94.97%) | White-rumped Shama (0.38%) | Daurian Redstart (0.34%) | Yellow-rumped Flycatcher (0.15%) | Javan Myna (0.14%)
900_9.jpeg,"1.3043744, 103.8245805",2026-05-27 11:55:16,2,0.9982141256332397,6.537,,Manual: Collared Kingfisher,,0,
AsianGlossyStarling.JPG,"1.3043744, 103.8245805",2024-06-20 16:50:30,1,0.9994770884513855,6.122,Asian Glossy Starling,Asian Glossy Starling,Asian Glossy Starling,0.438,Asian Glossy Starling (43.82%) | Copper-throated Sunbird (10.39%) | Javan Myna (5.48%) | Large-billed Crow (3.27%) | House Crow (3.15%)
IMG_3158.JPG,"1.3043744, 103.8245805",2024-06-20 15:12:13,3,0.9766464829444885,5.895,,,,0,
IMG_3159.JPG,No GPS Data,2024-06-20 15:12:22,0,0,0.0,,,,0,
IMG_3168.JPG,"1.3043744, 103.8245805",2024-06-20 15:21:25,4,0.9817251563072205,6.104,,,,0,
IMG_3182.JPG,"1.3043744, 103.8245805",2024-06-20 17:36:29,1,0.999072790145874,4.862,,Manual: Javan Myna,Javan Myna,0.202,Javan Myna (20.20%) | Asian Openbill (2.17%) | Gray-headed Fish-Eagle (2.08%) | White-rumped Munia (1.86%) | Common Myna (1.75%)
IMG_3193.JPG,No GPS Data,2024-06-20 17:42:47,0,0,0.0,,Manual: Ornate Sunbird,,0,
IMG_3199.JPG,No GPS Data,2024-06-20 17:43:03,0,0,0.0,,Manual: Ornate Sunbird,,0,
IMG_3206.JPG,No GPS Data,2024-06-20 17:51:57,0,0,0.0,,Manual: Yellow-vented Bulbul,,0,
IMG_3207.JPG,"1.3043744, 103.8245805",2024-06-20 17:53:44,1,0.9979462027549744,5.237,,Manual: Asian Glossy Starling,Large-billed Crow,0.201,Large-billed Crow (20.08%) | Asian Glossy Starling (6.53%) | House Crow (4.05%) | Crow-billed Drongo (2.49%) | Black-throated Laughingthrush (2.22%)
IMG_3208.JPG,"1.3043744, 103.8245805",2024-06-20 17:53:46,1,0.9961777925491333,5.054,,Manual: Asian Glossy Starling,Greater Racket-tailed Drongo,0.144,Greater Racket-tailed Drongo (14.37%) | Asian Glossy Starling (12.84%) | Van Hasselt's Sunbird (9.65%) | White-throated Kingfisher (3.96%) | Asian Fairy-bluebird (3.80%)
IMG_3209.JPG,"1.3043744, 103.8245805",2024-06-20 17:54:14,1,0.8808223009109497,4.309,,Manual: Asian Glossy Starling,Asian Glossy Starling,0.154,Asian Glossy Starling (15.40%) | Asian Koel (14.51%) | Greater Racket-tailed Drongo (4.63%) | Chestnut-bellied Malkoha (4.27%) | Asian Fairy-bluebird (4.14%)
IMG_3212.JPG,"1.3043744, 103.8245805",2024-06-20 17:58:00,1,0.9987934827804565,6.475,Ornate Sunbird,Ornate Sunbird,Ornate Sunbird,0.944,Ornate Sunbird (94.35%) | Javan Munia (0.71%) | Asian Golden Weaver (0.25%) | Brown Shrike (0.24%) | Barn Swallow (0.15%)
IMG_3213.JPG,"1.3043744, 103.8245805",2024-06-20 17:58:01,1,0.9990967512130737,4.901,Ornate Sunbird,Ornate Sunbird,Ornate Sunbird,0.94,Ornate Sunbird (94.01%) | Chestnut Munia (0.38%) | Rosy Starling (0.26%) | Javan Munia (0.20%) | Brown Shrike (0.17%)
IMG_3214.JPG,"1.3043744, 103.8245805",2024-06-20 17:58:02,1,0.9992266893386841,5.579,Ornate Sunbird,Ornate Sunbird,Ornate Sunbird,0.966,Ornate Sunbird (96.61%) | Malaysian Pied-Fantail (0.54%) | Copper-throated Sunbird (0.26%) | Brown-throated Sunbird (0.18%) | Javan Munia (0.18%)
IMG_3215.JPG,"1.3043744, 103.8245805",2024-06-20 17:58:04,1,0.9916350841522217,4.613,Ornate Sunbird,Ornate Sunbird,Ornate Sunbird,0.763,Ornate Sunbird (76.30%) | Brown-throated Sunbird (3.76%) | Copper-throated Sunbird (1.47%) | Pacific Swallow (1.21%) | Common Flameback (0.84%)
IMG_3216.JPG,"1.3043744, 103.8245805",2024-06-20 17:58:05,1,0.998676598072052,5.705,Ornate Sunbird,Ornate Sunbird,Ornate Sunbird,0.573,Ornate Sunbird (57.29%) | Black-headed Bulbul (1.93%) | Northern Boobook (1.44%) | Amur Paradise-Flycatcher (1.37%) | Yellow-vented Bulbul (1.23%)
IMG_3217.JPG,"1.3043744, 103.8245805",2024-06-20 17:58:06,1,0.9950732588768005,5.201,,Manual: Ornate Sunbird,Ornate Sunbird,0.133,Ornate Sunbird (13.30%) | Brown-throated Sunbird (4.03%) | Yellow-vented Bulbul (2.82%) | Eastern Yellow Wagtail (2.51%) | Black-headed Bulbul (2.37%)
IMG_3218.JPG,"1.3043744, 103.8245805",2024-06-20 17:58:07,1,0.9986819624900818,5.916,Ornate Sunbird,Ornate Sunbird,Ornate Sunbird,0.872,Ornate Sunbird (87.15%) | Black-naped Oriole (1.71%) | Long-tailed Shrike (0.67%) | Common Flameback (0.52%) | Stork-billed Kingfisher (0.45%)
IMG_3219.JPG,"1.3043744, 103.8245805",2024-06-20 17:58:08,1,0.9974564909934998,6.256,,Manual: Ornate Sunbird,Ornate Sunbird,0.186,Ornate Sunbird (18.61%) | House Crow (9.25%) | Chestnut Munia (6.44%) | Yellow-vented Bulbul (4.30%) | Oriental Reed Warbler (3.40%)
IMG_3220.JPG,"1.3043744, 103.8245805",2024-06-20 17:58:08,1,0.9983381032943726,5.81,,Manual: Ornate Sunbird,Brown-throated Sunbird,0.345,Brown-throated Sunbird (34.46%) | Ornate Sunbird (12.18%) | Olive-winged Bulbul (5.90%) | Abbott's Babbler (3.58%) | Chestnut Munia (3.24%)
